"","date","jd","airt","f.airt","airtmax","f.airtmax","airtmin","f.airtmin","rh","f.rh","rhmax","f.rhmax","rhmin","f.rhmin","dewp","f.dewp","dewpmax","f.dewpmax","dewpmin","f.dewpmin","prec","f.prec","slrt","f.slrt","part","f.part","netr","f.netr","bar","f.bar","wspd","f.wspd","wres","f.wres","wdir","f.wdir","wdev","f.wdev","gspd","f.gspd","s10t","f.s10t","s10tmax","f.s10tmax","s10tmin","f.s10tmin"
"2906",2009-01-25,25,-12.8,"",-6.6,"",-19.3,"",58,"",81,"",35,"",-19.9,"",-17.5,"",-23,"",0,"",10.2,"",20.4,"",-25.1,"",1016,"",1.4,"",1.2,"",246,"",29,"",7.6,"",1.7,"",1.7,"",1.6,""
"2907",2009-01-26,26,-10.9,"",-4.6,"",-16.1,"",59,"",81,"",36,"",-17.7,"",-15.7,"",-19.9,"",0,"",9.7,"",19.4,"",-19.1,"",1021,"",0.7,"",0.5,"",266,"",36,"",6.4,"",1.6,"",1.6,"",1.5,""
"2908",2009-01-27,27,-8.6,"",-2.7,"",-13.2,"",56,"",74,"",33,"",-16,"",-13.1,"",-17.7,"",0,"",10.2,"",20,"",-12.1,"",1023,"",1.2,"",0.8,"",283,"",47,"",6.9,"",1.4,"",1.5,"",1.4,""
"2909",2009-01-28,28,-5.1,"",-0.2,"",-9,"",89,"",100,"",50,"",-6.8,"",-0.3,"",-16.4,"",29.2,"",1,"",2.4,"",5.4,"",1007,"",1.7,"Q",1.5,"Q",93,"Q",24,"Q",9.7,"Q",1.4,"",1.4,"",1.4,""
"2910",2009-01-29,29,-6,"",-2.1,"",-10.5,"",94,"",100,"",81,"",-6.8,"",-3.1,"",-11.4,"",0.5,"",7.9,"",15.2,"",-53.9,"E",1003,"",0.3,"Q",0.2,"Q",274,"Q",13,"Q",5.1,"Q",1.4,"",1.5,"",1.4,""
"2911",2009-01-30,30,-6.5,"",-2.2,"",-11.9,"",91,"",97,"",77,"",-7.7,"",-4.2,"",-13.1,"",0,"",6.9,"",14.4,"",-15.5,"",1004,"",0.8,"",0.6,"",218,"",35,"",6.8,"",1.6,"",1.6,"",1.5,""
"2912",2009-01-31,31,-9.8,"",-6,"",-13.3,"",74,"",97,"",43,"",-13.8,"",-6.5,"",-18.3,"",0.3,"",10.4,"",20.5,"",-19.7,"",1005,"",1.8,"",1.6,"",276,"",27,"",12.8,"",1.6,"",1.7,"",1.6,""
"2913",2009-02-01,32,-3.3,"",4.5,"",-13.7,"",62,"",85,"",43,"",-9.7,"",-4.6,"",-15.9,"",0,"",8,"",16.1,"",-9.7,"",1006,"",1.8,"",1.4,"",220,"",35,"",8.7,"",1.6,"",1.7,"",1.6,""
"2914",2009-02-02,33,1.7,"",7.9,"",-2.5,"",66,"",92,"",38,"",-4.5,"",-2,"",-8.4,"",0,"",6.2,"",12.3,"",-5.9,"",1008,"",0.9,"",0.5,"",330,"",51,"",6.5,"",1.7,"",1.7,"",1.6,""
"2915",2009-02-03,34,-4.1,"",-1.7,"",-8.9,"",84,"",94,"",58,"",-6.4,"",-3.2,"",-10.2,"",1.8,"",3.1,"",6,"",-14.6,"",1003,"",1.7,"",1.2,"",19,"",46,"",9.1,"",1.7,"",1.7,"",1.6,""
"2916",2009-02-04,35,-10.7,"",-5,"",-15.5,"",57,"",91,"",30,"",-18,"",-10.1,"",-21.1,"",0,"",11.8,"",22.7,"",-30.1,"",1007,"",1.6,"",1.4,"",310,"",31,"",7.4,"",1.7,"",1.7,"",1.6,""
"2917",2009-02-05,36,-14.3,"",-8.9,"",-19.3,"",57,"",79,"",35,"",-21.4,"",-20.3,"",-22.4,"",0,"",11.2,"",22.3,"",-26.7,"",1014,"",1.7,"",1.4,"",299,"",32,"",10.4,"",1.6,"",1.7,"",1.6,""
"2918",2009-02-06,37,-11.1,"",-3.5,"",-17.4,"",58,"",71,"",37,"",-18,"",-14.7,"",-22,"",0,"",9.9,"",19.6,"",-11.6,"",1020,"",0.9,"",0.6,"",245,"",37,"",6,"",1.6,"",1.7,"",1.6,""
"2919",2009-02-07,38,-2.8,"",4.4,"",-12.9,"",58,"",72,"",42,"",-10,"",-1.3,"",-17.2,"",0,"",7.3,"",14.3,"",-6.8,"",1016,"",2.4,"",2.1,"",207,"",28,"",13.4,"",1.6,"",1.6,"",1.6,""
"2920",2009-02-08,39,3.1,"",6.6,"",-2.5,"",64,"",86,"",44,"",-3.2,"",2.1,"",-10.2,"",0,"",4.1,"",7.8,"",-13.9,"",1008,"",3.1,"",2.5,"",265,"",36,"",19.9,"",1.6,"",1.6,"",1.6,""
"2921",2009-02-09,40,-2.4,"",2.4,"",-6.6,"",55,"",69,"",34,"",-10.5,"",-8.1,"",-12.2,"",0,"",12.8,"",23.6,"",-15.1,"",1020,"",1.8,"",1.3,"",295,"",40,"",10.2,"",1.6,"",1.6,"",1.6,""
"2922",2009-02-10,41,-2.1,"",1.9,"",-6.7,"",63,"",89,"",39,"",-8.5,"",0.2,"",-15.7,"",0,"",4.8,"",9.3,"",-1.4,"",1018,"",1.5,"",1.1,"",134,"",42,"",6.4,"",1.6,"",1.6,"",1.6,""
"2923",2009-02-11,42,6.2,"",14.3,"",-1.9,"",79,"",98,"",49,"",2.5,"",7.2,"",-2.4,"",0,"",10.1,"",19,"",10.1,"",1006,"",1.1,"",0.8,"",191,"",39,"",7,"",1.6,"",1.6,"",1.6,""
"2924",2009-02-12,43,4.6,"",7,"",1.4,"",84,"",100,"",64,"",1.9,"",6.8,"",-2.3,"",3.6,"",2.8,"",5.4,"",1.3,"",987,"",3.2,"",2.6,"",256,"",36,"",14.7,"",1.5,"",1.6,"",1.5,""
"2925",2009-02-13,44,-2.9,"",1.6,"",-7.6,"",57,"",79,"",36,"",-10.4,"",-2.1,"",-14.9,"",0,"",10.3,"",18.2,"",-11.9,"",1002,"",2.7,"",2.3,"",298,"",31,"",12.7,"",1.5,"",1.5,"",1.5,""
"2926",2009-02-14,45,-4,"",2.5,"",-9.5,"",52,"",78,"",27,"",-13,"",-10.8,"",-15.1,"",0,"",11.6,"",20.7,"",-17.4,"",1005,"",2.4,"",2.2,"",276,"",23,"",10.4,"",1.4,"",1.5,"",1.3,""
"2927",2009-02-15,46,-2.8,"",3.3,"",-8,"",54,"",72,"",34,"",-11.2,"",-8.5,"",-13.7,"",0,"",13.9,"",25.1,"",-13.7,"",1008,"",1.5,"",1.2,"",312,"",33,"",8.7,"",1.2,"",1.3,"",1.1,""
"2928",2009-02-16,47,-3.6,"",2.7,"",-8.4,"",62,"",81,"",39,"",-10.1,"",-7.9,"",-11.4,"",0,"",14.1,"",26,"",-14.1,"",1013,"",1.3,"",1,"",333,"",38,"",7.1,"",1,"",1.1,"",0.9,""
"2929",2009-02-17,48,-4.9,"",1.6,"",-9.1,"",63,"",83,"",35,"",-11.2,"",-9,"",-12.8,"",0,"",14.3,"",26.9,"",-14.4,"",1016,"",1.3,"",0.9,"",343,"",47,"",7.3,"",0.8,"",0.9,"",0.8,""
"2930",2009-02-18,49,-2.9,"",2.9,"",-8.5,"",73,"",99,"",39,"",-7.6,"",-1.3,"",-12.3,"",3,"",9.1,"",17.5,"",-5.2,"",1007,"",2.7,"",2.1,"",128,"",38,"",11,"",0.7,"",0.8,"",0.7,""
"2931",2009-02-19,50,-0.3,"",6.4,"",-8.5,"",92,"",100,"",58,"",-1.5,"",3.8,"",-9.4,"",7.9,"",6.6,"",12.7,"",-7.1,"",990,"",2.1,"",0.7,"",294,"",63,"",12.4,"",0.7,"",0.7,"",0.7,""
"2932",2009-02-20,51,-7,"",-4.8,"",-9.7,"",66,"",93,"",49,"",-12.3,"",-9.1,"",-15.7,"",0,"",6.3,"",11.6,"",-17,"",996,"",3.5,"",3.2,"",267,"",23,"",13.1,"",0.7,"",0.7,"",0.7,""
"2933",2009-02-21,52,-4,"",1,"",-7.9,"",56,"",76,"",35,"",-11.7,"",-9.3,"",-13.6,"",0,"",14.6,"",27.8,"",-15.1,"",1012,"",2.5,"",2,"",272,"",36,"",11.5,"",0.7,"",0.8,"",0.7,""
"2934",2009-02-22,53,-1,"",3.5,"",-4.9,"",86,"",100,"",53,"",-3.2,"",0.3,"",-11.3,"",7.6,"",4.1,"",8.2,"",-7,"",1008,"",2.4,"",0.7,"",156,"",67,"",10.9,"",0.8,"",0.8,"",0.8,""
"2935",2009-02-23,54,-6.3,"",-3.4,"",-9.4,"",76,"",96,"",57,"",-9.9,"",-5.3,"",-14.3,"",0,"",8.1,"",14.8,"",-65.9,"E",1005,"",3.2,"",2.9,"",277,"",24,"",12,"",0.8,"",0.9,"",0.8,""
"2936",2009-02-24,55,-6.9,"",-0.4,"",-12.1,"",58,"",76,"",34,"",-14.1,"",-11.4,"",-15.8,"",0,"",15.6,"",30.4,"",-20.2,"",1015,"",2.1,"",1.9,"",295,"",28,"",9.8,"",0.9,"",0.9,"",0.8,""
"2937",2009-02-25,56,-4.5,"",3.3,"",-11.1,"",50,"",74,"",24,"",-14.2,"",-10.6,"",-16.9,"",0,"",13.5,"",26.8,"",-16.7,"",1023,"",1.2,"",0.5,"",263,"",63,"",6.7,"",0.9,"",0.9,"",0.8,""
"2938",2009-02-26,57,0.4,"",4.8,"",-3.5,"",67,"",86,"",52,"",-5.1,"",-2.4,"",-10.7,"",0,"",4.8,"",9.6,"",-10.6,"",1019,"",2.3,"",2,"",206,"",27,"",10,"",0.9,"",0.9,"",0.8,""
"2939",2009-02-27,58,6.6,"",13.4,"",0.1,"",84,"",99,"",50,"",3.9,"",7.7,"",-4.4,"",12.2,"",5.1,"",10.1,"",19.8,"",1012,"",3.6,"",3.2,"",188,"",28,"",17,"",0.9,"",0.9,"",0.8,""
"2940",2009-02-28,59,-1.3,"",7.5,"",-6.9,"",63,"",100,"",26,"",-8.5,"",7.4,"",-19.4,"",0.3,"",15.2,"",27.2,"",26.6,"",1014,"",1.9,"",1.4,"",311,"",40,"",9.8,"",0.8,"",0.9,"",0.8,""
"2941",2009-03-01,60,-5.8,"",-3.4,"",-7.6,"",66,"",92,"",47,"",-11.3,"",-7,"",-15.7,"",0.3,"",5.5,"",10.8,"",9.4,"",1014,"",1.7,"",1.4,"",51,"",32,"",7.3,"",0.8,"",0.9,"",0.7,""
"2942",2009-03-02,61,-9,"",-6,"",-12.4,"",93,"",95,"",90,"",-10,"",-6.9,"",-13.8,"",18,"",3.3,"",6.3,"",1.3,"",1007,"",2.1,"",1.7,"",336,"",33,"",10.8,"",0.7,"",0.7,"",0.6,""
"2943",2009-03-03,62,-10.6,"",-5,"",-14.5,"",61,"",90,"",27,"",-17.6,"",-13.6,"",-21.9,"",0.5,"",17.2,"",34.1,"",-14.8,"",1012,"",2.2,"",1.8,"",313,"",31,"",10,"",0.6,"",0.7,"",0.6,""
"2944",2009-03-04,63,-8.7,"",-1.4,"",-15.9,"",50,"",82,"",27,"",-17.8,"",-12.6,"",-21.4,"",0,"",17.5,"",34.5,"",-8.8,"",1017,"",1.4,"",1.2,"",284,"",32,"",9.3,"",0.7,"",0.7,"",0.6,""
"2945",2009-03-05,64,-4,"",3.5,"",-13.3,"",56,"",89,"",28,"",-12.7,"",-5.8,"",-16,"",0,"",17.3,"",33.5,"",-6.5,"",1022,"",1.5,"",0.9,"",225,"",48,"",7.9,"",0.7,"",0.7,"",0.7,""
"2946",2009-03-06,65,3.3,"",7.4,"",-1.8,"",68,"",87,"",50,"",-2.2,"",-0.4,"",-6,"",0,"",6.6,"",13.1,"",2.2,"",1012,"",2.7,"",2.4,"",211,"",27,"",9.7,"",0.8,"",0.8,"",0.7,""
"2947",2009-03-07,66,7.4,"",13.7,"",2.8,"",62,"",96,"",32,"",-0.2,"",6.8,"",-3.5,"",1.3,"",13.7,"",25.1,"",16.4,"",1010,"",1.9,"",1,"",256,"",54,"",7.9,"",0.8,"",0.9,"",0.8,""
"2948",2009-03-08,67,7.5,"",11.9,"",3.5,"",71,"",97,"",40,"",2.3,"",7.8,"",-2.6,"",0,"",14.9,"",27.3,"",68.7,"",1006,"",1.9,"",0.8,"",281,"",63,"",9.6,"",0.8,"",0.9,"",0.8,""
"2949",2009-03-09,68,-1.1,"",3.8,"",-2.6,"",95,"",99,"",63,"",-1.8,"",-0.5,"",-2.9,"",17,"",2,"",4.4,"",-19.9,"",1011,"",2,"",1.6,"",69,"",34,"",10.2,"",0.9,"",1,"",0.9,""
"2950",2009-03-10,69,0.2,"",5.5,"",-5.7,"",80,"",99,"",51,"",-3.3,"",1.9,"",-6.2,"",0.3,"",11.4,"",21.3,"",2,"",1021,"",1.4,"",0.9,"",153,"",42,"",7.6,"",1,"",1,"",0.9,""
"2951",2009-03-11,70,3.9,"",8,"",-0.2,"",90,"",100,"",38,"",2.1,"",8,"",-8.3,"",11.7,"",1.9,"",3.9,"",1.6,"",1010,"",3.2,"",2.1,"",203,"",48,"",12.8,"",1,"",1,"",0.9,""
"2952",2009-03-12,71,-3.3,"",0,"",-7,"",46,"",62,"",30,"",-13.5,"",-6.8,"",-16.5,"",0,"",16.8,"",29.6,"",43.2,"",1021,"",2.9,"",2.6,"",281,"",27,"",12.4,"",0.8,"",0.9,"",0.6,""
"2953",2009-03-13,72,-4.2,"",0.9,"",-8.8,"",47,"",80,"",19,"",-14.8,"",-7.1,"",-22.1,"",0,"",18.7,"",33.4,"",55.2,"",1025,"",1.3,"",0.9,"",219,"",45,"",6.2,"",0.5,"",0.7,"",0.5,""
"2954",2009-03-14,73,1,"",8.7,"",-6.3,"",57,"",90,"",23,"",-7.8,"",-4.1,"",-12.1,"",0,"",18.8,"",33.4,"",67.5,"",1018,"",1.3,"",1,"",230,"",39,"",6.9,"",0.4,"",0.5,"",0.4,""
"2955",2009-03-15,74,4.6,"",13.9,"",-2.5,"",51,"",86,"",17,"",-6.3,"",-2.8,"",-11.5,"",0,"",19.6,"",34.8,"",71.8,"",1016,"",0.9,"",0.4,"",311,"",56,"",5.3,"",0.9,"",1.9,"",0.4,""
"2956",2009-03-16,75,2.3,"",7.8,"",-2.1,"",65,"",90,"",46,"",-3.8,"",-0.8,"",-8.6,"",0,"",15.5,"",28.2,"",54.6,"",1022,"",2.2,"",1.8,"",93,"",34,"",9.7,"",2.1,"",3.4,"",1.1,""
"2957",2009-03-17,76,3.8,"",12.1,"",-2.9,"",62,"",92,"",31,"",-3.5,"",0.8,"",-5.8,"",0,"",19.1,"",34.3,"",71.8,"",1019,"",1.4,"",0.6,"",173,"",58,"",6.6,"",3.3,"",5,"",1.8,""
"2958",2009-03-18,77,6.4,"",12.4,"",-0.1,"",60,"",72,"",46,"",-0.9,"",3.2,"",-5.8,"",0,"",13.9,"",24.8,"",55.1,"",1013,"",2.6,"",2.3,"",209,"",27,"",11.4,"",3.9,"",4.9,"",2.7,""
"2959",2009-03-19,78,3.7,"",7.8,"",-0.2,"",80,"",96,"",56,"",0.4,"",3.6,"",-7.6,"",2.5,"",6.3,"",11.4,"",4.1,"",1013,"",1.1,"",0.6,"",271,"",50,"",7.7,"",4.5,"",4.9,"",4.2,""
"2960",2009-03-20,79,-0.5,"",4.3,"",-4.3,"",42,"",66,"",14,"",-12.6,"",-6.6,"",-21.8,"",0,"",18.1,"",31.6,"",59.1,"",1020,"",1.2,"",0.7,"",346,"",47,"",7.3,"",3.9,"",5,"",2.8,""
"2961",2009-03-21,80,-0.1,"",7.7,"",-6.8,"",37,"",63,"",13,"",-14.3,"",-9,"",-20.3,"",0,"",21.1,"",36.3,"",67.1,"",1025,"",1.3,"",0.4,"",260,"",65,"",6.9,"",3.4,"",4.6,"",2.3,""
"2962",2009-03-22,81,0.7,"",7.6,"",-4.6,"",48,"",66,"",30,"",-9.2,"",-2.4,"",-19,"",0,"",14.9,"",26,"",52.2,"",1018,"",2.1,"",1.5,"",286,"",44,"",11.9,"",3.5,"",4.5,"",2.5,""
"2963",2009-03-23,82,-5.4,"",-1.6,"",-7.9,"",40,"",59,"",23,"",-17.2,"",-14.2,"",-20.5,"",0,"",21.2,"",37.3,"",73.5,"",1019,"",2.5,"",2,"",324,"",35,"",12,"",2.8,"",3.4,"",2.2,""
"2964",2009-03-24,83,-1.1,"",6.8,"",-7.7,"",45,"",61,"",26,"",-11.9,"",-8.2,"",-14.7,"",0,"",21.1,"",37.3,"",77.5,"",1022,"",2.1,"",1.7,"",346,"",36,"",10.7,"",2.4,"",3.4,"",1.7,""
"2965",2009-03-25,84,3.1,"",11.6,"",-4.8,"",43,"",77,"",17,"",-9.6,"",-6.2,"",-13.2,"",0,"",21.4,"",37.7,"",79.8,"",1021,"",1.1,"",0,"",150,"",77,"",6.5,"",3.1,"",4.8,"",1.8,""
"2966",2009-03-26,85,3.5,"",8.5,"",-1.6,"",62,"",98,"",27,"",-3.9,"",3.1,"",-10.1,"",6.9,"",9,"",16.7,"",27.4,"",1012,"",1.6,"",1.3,"",168,"",35,"",7,"",3.5,"",4.1,"",2.6,""
"2967",2009-03-27,86,7.6,"",15.9,"",2.2,"",71,"",100,"",27,"",1.7,"",6.4,"",-4.1,"",0.3,"",19.1,"",33.9,"",86.8,"",1009,"",1.2,"",0.7,"",309,"",52,"",7.1,"",5.2,"",7.1,"",3.7,""
"2968",2009-03-28,87,9.5,"",16.6,"",3.5,"",65,"",90,"",37,"",2.7,"",6.3,"",-2.3,"",0,"",16.3,"",29.5,"",77.1,"",1011,"",1.7,"",1.2,"",132,"",44,"",6.9,"",6.7,"",8.2,"",5.4,""
"2969",2009-03-29,88,3.6,"",5.9,"",2,"",97,"",100,"",88,"",3.2,"",4.2,"",2,"",12.7,"",3.3,"",6.7,"",11.4,"",998,"",2.7,"",2.2,"",78,"",32,"",11.1,"",6.5,"",7.3,"",5.9,""
"2970",2009-03-30,89,2.8,"",4.9,"",0.7,"",91,"",100,"",74,"",1.4,"",3.9,"",-2,"",3.8,"",3.3,"",6.3,"",1.2,"",996,"",2,"",1.8,"",280,"",29,"",10.1,"",5.6,"",5.9,"",5.2,""
"2971",2009-03-31,90,5,"",12.2,"",-1.3,"",68,"",96,"",39,"",-1.1,"",2.2,"",-2.2,"",0,"",22.8,"",39.8,"",100.7,"",1014,"",1.6,"",0.7,"",335,"",60,"",9.1,"",5.8,"",7.5,"",4.2,""
"2972",2009-04-01,91,3.5,"",6.6,"",0.8,"",79,"",98,"",58,"",0,"",3.7,"",-2.7,"",2.3,"",9.8,"",17.3,"",44.7,"",1017,"",2.1,"",1.8,"",159,"",28,"",7.6,"",6.1,"",6.7,"",5.5,""
"2973",2009-04-02,92,9.7,"",17.8,"",3.6,"",81,"",100,"",28,"",5.7,"",10.8,"",-1.9,"",0.3,"",19.6,"",34.2,"",94.6,"",1012,"",1.4,"",0.7,"",201,"",54,"",6.6,"",7.5,"",9.5,"",5.9,""
"2974",2009-04-03,93,10.1,"",12,"",8.2,"",97,"",100,"",92,"",9.7,"",11.9,"",7.4,"",15.2,"",4.4,"",8.4,"",15.1,"",995,"",3.1,"",2.2,"",103,"",43,"",11.3,"",8.5,"",8.8,"",8.1,""
"2975",2009-04-04,94,4.5,"",11.4,"",0.3,"",83,"",100,"",63,"",1.8,"",11.4,"",-2.4,"",1.8,"",7.5,"",13.2,"",7.8,"",989,"",3.3,"",2.9,"",262,"",27,"",14,"",8.2,"",8.6,"",7.4,""
"2976",2009-04-05,95,4.9,"",10.9,"",0.6,"",68,"",92,"",47,"",-0.7,"",2.9,"",-2.7,"",0,"",20.2,"",35.4,"",100.4,"",999,"",2.6,"",2.3,"",280,"",26,"",11.7,"",7.7,"",9,"",6.5,""
"2977",2009-04-06,96,2.9,"",5.3,"",-1,"",90,"",99,"",69,"",1.4,"",3.4,"",-1.7,"",16,"",3.5,"",6.6,"",1.2,"",994,"",2.1,"",1.5,"",76,"",43,"",12.7,"",6.7,"",7.8,"",6.3,""
"2978",2009-04-07,97,1.8,"",3.4,"",-1,"",83,"",100,"",61,"",-1,"",3.4,"",-6,"",1,"",4.6,"",8.2,"",12.9,"",987,"",1.9,"",1.7,"",267,"",27,"",8.4,"",6.2,"",6.5,"",5.9,""
"2979",2009-04-08,98,1.1,"",5.6,"",-1.7,"",61,"",81,"",39,"",-5.8,"",-3,"",-8.3,"",0,"",9.8,"",16.7,"",39.5,"",996,"",2.4,"",2.2,"",253,"",26,"",10.1,"",5.6,"",6.2,"",5,""
"2980",2009-04-09,99,6.1,"",13.3,"",-0.1,"",48,"",79,"",20,"",-5.6,"",-2.8,"",-10.1,"",0,"",22.9,"",38.7,"",99.7,"",1004,"",2.2,"",1.6,"",237,"",43,"",11.3,"",6.1,"",8,"",4.5,""
"2981",2009-04-10,100,7.8,"",15.2,"",1.2,"",56,"",98,"",23,"",-1.7,"",5.9,"",-6.2,"",10.2,"",17.6,"",29.5,"",91.6,"",1011,"",1.6,"",1,"",228,"",48,"",10.5,"",7.2,"",8.8,"",5.7,""
