date,airt,f.airt,airtmax,f.airtmax,airtmin,f.airtmin,airtmmx,f.airtmmx,airtmmn,f.airtmmn,prec,f.prec,slrt,f.slrt,part,f.part,netr,f.netr,wspd,f.wspd,wres,f.wres,wdir,f.wdir,gspd,f.gspd,s10t,f.s10t
2005-07,20.7,,26.5,,15.9,,31.5,,11.3,,123.3,,18.7,,36.0,,120.2,,1.2,,0.2,,163,,11.0,,22.2,3
2005-08,20.9,,26.8,,16.1,,30.9,,10.9,,86.9,,16.9,,33.8,,103.1,,1.2,,0.3,,177,,14.0,,22.6,
2005-09,17.1,,23.4,,11.6,,30.1,,3.5,,61.5,,15.0,,29.4,,73.7,,1.2,,0.3,,215,,17.4,,19.5,
2005-10,9.7,,13.9,,6.0,,24.6,,-2.1,,297.3,,7.0,1,12.5,1,20.8,1,1.7,1,0.2,1,47,1,17.8,1,13.3,
2005-11,4.8,,9.9,,-0.6,,20.6,,-12.0,,108.1,,6.4,,11.7,,3.0,,2.0,,0.7,,212,,16.2,,7.3,
2005-12,-3.4,,0.9,,-7.4,,7.7,,-17.6,,77.4,,5.3,,10.3,,-17.3,,1.8,,0.8,,273,,18.0,,3.0,
2006-01,-0.7,,4.0,,-5.2,,13.6,,-17.9,,104.3,,4.8,,9.3,,-11.6,,1.9,,0.4,,237,,21.7,,2.2,
2006-02,-3.8,,1.0,,-8.8,,14.2,,-18.7,,50.7,,9.1,,17.6,,2.9,,2.3,,1.1,,259,,20.0,,0.8,
2006-03,0.9,,6.5,,-4.5,,20.7,,-13.8,,12.7,,13.1,,26.0,,44.3,,2.0,,1.0,,282,,16.5,,1.3,
2006-04,8.1,,14.8,,1.9,,24.1,,-4.6,,41.6,,15.8,,32.0,,74.8,,2.0,,0.3,,287,,14.4,,8.3,
2006-05,12.3,,17.7,,7.4,,28.0,,2.2,,114.7,,15.2,,31.9,,86.9,,1.9,,0.5,,70,,15.9,,12.8,
2006-06,17.8,,22.5,,13.7,,31.6,,8.3,,141.2,,13.9,,32.8,,90.7,,1.3,,0.2,,162,,17.4,,18.8,
2006-07,21.9,,27.3,,16.9,,32.1,,11.1,,91.5,,18.4,,42.7,,126.1,,1.2,,0.4,,202,,10.3,,22.4,
2006-08,18.8,,24.6,,14.0,,33.7,,8.1,,129.3,,16.4,,37.9,,103.7,,1.2,,0.1,,189,,12.4,,21.3,
2006-09,14.6,,20.0,,9.9,,25.9,,1.6,,74.9,,12.4,,28.3,,63.7,,1.3,,0.2,,142,,12.9,,17.5,
2006-10,8.8,,14.3,,3.8,,24.5,,-2.9,,168.5,,9.2,,20.8,,32.7,,1.7,,0.3,,224,,20.6,,12.3,
2006-11,6.6,,11.1,,2.5,,19.0,,-5.2,,117.1,,5.8,,12.6,,7.7,,1.7,,0.2,,136,,15.4,,8.7,
2006-12,1.5,,5.4,,-2.7,,17.5,,-11.2,,48.8,,4.4,,9.4,,-7.0,,1.9,,1.1,,250,,19.9,,4.6,
2007-01,-3.1,,1.0,,-7.3,,18.5,,-21.1,,78.6,,5.4,,11.5,,-1.6,,1.9,2,1.1,2,257,2,16.4,2,1.8,
2007-02,-7.2,,-2.5,,-11.8,,6.1,,-18.4,,46.8,,9.0,,19.7,,-14.9,,2.2,,1.4,,274,,17.9,,-0.3,
2007-03,-0.2,,5.5,,-5.7,,19.4,,-21.0,,108.2,,12.4,,26.6,,22.3,,2.2,2,1.1,2,264,2,17.0,2,-0.1,
2007-04,5.3,,10.0,,0.6,,28.3,,-7.9,,160.3,,12.2,,27.1,,57.5,,2.0,,0.2,,319,,19.3,,4.7,
2007-05,14.1,,21.1,,7.6,,31.7,,0.8,,102.3,,20.1,,44.6,,120.4,,1.5,,0.3,,284,,12.9,,14.4,
2007-06,17.4,,23.7,,11.7,,32.1,,3.4,,64.5,,19.7,,43.8,,123.6,,1.2,,0.0,,86,,12.7,,20.2,
2007-07,19.8,,25.9,,14.8,,32.5,,7.3,,167.4,,19.1,,42.9,,119.9,,1.2,,0.3,,185,,11.5,,22.7,
2007-08,19.6,,25.5,,14.1,,31.1,,7.5,,29.5,,17.1,,37.8,,100.1,,1.1,,0.2,,177,,11.6,,22.0,
2007-09,16.3,,22.8,,10.8,,30.7,,3.6,,75.6,,14.8,,33.5,,76.2,,1.2,,0.2,,171,,11.0,,18.7,
2007-10,12.4,,17.8,,7.5,,27.7,,-2.6,,117.5,,9.2,,20.3,,34.4,,1.3,,0.3,,196,,16.4,,15.1,
2007-11,2.2,,6.9,,-2.2,,14.5,,-10.1,,91.0,,5.8,,12.4,,1.4,,1.8,,0.5,,240,,14.2,,6.8,
2007-12,-3.7,,0.4,,-7.4,,12.0,,-16.0,,97.0,,3.8,,8.2,,-14.4,,1.7,,0.4,,270,,17.6,,2.3,
2008-01,-3.4,,1.1,,-8.2,,15.8,,-20.2,,72.5,,5.8,,12.0,,-18.0,,1.7,,0.6,,257,,15.2,,1.7,
2008-02,-3.8,,0.7,,-8.7,,12.1,,-19.7,,267.4,,6.6,,14.1,,-11.7,,1.8,1,0.6,1,250,1,17.0,1,0.7,
2008-03,-0.3,,4.8,,-5.0,,10.1,,-9.7,,139.2,,11.4,,24.4,,28.1,,2.2,,0.6,,263,,18.6,,1.0,
2008-04,8.5,,15.0,,2.0,,26.4,,-5.5,,111.2,,16.6,,35.5,,79.9,,1.9,,0.2,,124,,17.4,,8.4,
2008-05,11.7,,18.1,,5.6,,27.2,,-2.7,,57.1,,18.2,,39.5,,100.8,,1.5,,0.1,,237,,14.9,,13.2,
2008-06,18.4,,24.5,,13.3,,34.1,,6.5,,105.9,,19.3,1,38.1,1,111.6,1,1.1,1,0.3,1,195,1,14.7,1,19.6,
2008-07,21.0,,26.7,,16.4,,31.1,,11.8,,225.3,,20.9,,36.4,,125.9,,1.2,,0.5,,190,,12.6,,22.8,
2008-08,18.2,,24.5,,13.2,,27.9,,6.8,,47.1,,18.7,,32.0,,100.0,,1.0,,0.0,,252,,10.2,,21.5,
2008-09,15.9,,21.6,,11.2,,29.3,,3.1,,197.6,,14.4,,24.9,,68.0,,1.2,,0.2,,119,,13.7,,18.9,
2008-10,8.5,,14.7,,3.4,,21.3,,-3.1,,62.6,,10.8,,18.6,,28.4,,1.3,,0.3,,254,,17.8,,12.9,
2008-11,3.0,,7.2,,-0.8,,18.4,,-11.8,,91.1,,5.5,,9.6,,0.7,,1.7,,0.4,,230,,15.3,,7.1,
2008-12,-2.2,,1.8,,-7.0,,12.8,,-17.5,,188.2,,3.8,,7.0,,-11.4,,2.2,2,1.0,2,241,2,17.0,2,2.2,
2009-01,-8.2,,-3.1,,-13.1,,4.6,,-21.4,,78.5,,6.3,,11.6,,-21.3,,1.5,5,0.9,5,269,5,14.0,5,1.3,
2009-02,-2.9,,2.7,,-8.3,,14.3,,-19.3,,36.4,,9.3,,17.6,,-11.2,,2.1,,1.0,,264,,19.9,,1.2,
2009-03,0.8,,6.5,,-4.1,,16.6,,-15.9,,75.3,,13.9,,25.3,,38.3,,1.8,,0.4,,269,,12.8,,2.5,
2009-04,8.4,,14.6,,2.4,,32.5,,-4.1,,83.2,,17.3,,30.2,,79.4,,2.1,,0.4,,243,,15.2,,9.1,
2009-05,13.3,,19.1,,7.3,,30.1,,1.5,,129.8,,17.9,,30.8,,94.0,,1.6,,0.5,,208,,14.7,,15.0,
2009-06,16.1,,21.6,,12.0,,26.7,,1.4,,182.0,,16.5,,27.8,,92.0,,1.2,,0.3,,99,,12.4,,18.4,
2009-07,18.5,,24.0,,13.7,,28.1,,8.9,,253.6,,19.4,,32.2,,114.5,,1.4,,0.3,,163,,11.6,,21.1,
2009-08,20.1,,25.9,,15.3,,31.0,,9.6,,84.3,,18.5,,31.3,,107.7,,1.1,,0.2,,194,,11.7,,22.7,
2009-09,14.4,,20.3,,9.2,,27.4,,2.9,,33.7,,15.6,,25.8,,74.5,,1.3,,0.2,,84,,10.0,,18.2,
2009-10,7.8,,12.9,,3.4,,20.6,,-2.5,,168.9,,8.3,,13.4,,27.4,,1.5,,0.1,,164,,15.3,,12.3,
2009-11,6.0,,10.3,,2.2,,18.0,,-4.2,,61.4,,6.4,,10.5,,6.0,,1.7,,0.2,,5,,18.3,,8.8,
2009-12,-3.4,,0.8,,-7.7,,17.4,,-18.9,,90.4,,4.9,,8.9,,-20.9,,2.1,,0.8,,281,,16.9,,3.6,
2010-01,-4.8,,-0.5,,-9.0,,12.2,,-20.3,,68.1,,5.7,,11.2,,-18.4,,1.8,,0.9,,288,,16.5,,1.5,
2010-02,-3.3,,0.9,,-6.8,,7.0,,-13.7,,86.6,,8.1,,15.9,,-7.6,,2.1,,0.8,,311,,16.5,,0.3,
2010-03,4.3,,9.3,,0.1,,19.8,,-8.5,,189.0,,11.8,,21.8,,42.1,,2.2,,0.6,,33,,20.9,,3.6,
2010-04,9.7,,16.1,,3.4,,30.0,,-1.6,,30.3,,17.3,,30.3,,79.2,,1.7,,0.4,,268,,14.2,,10.2,
2010-05,15.3,,21.8,,8.9,,33.7,,-1.1,,58.5,,20.3,,36.9,,112.8,,1.4,,0.4,,249,,20.7,,15.0,
2010-06,18.5,,24.0,,13.4,,30.0,,7.0,,104.7,,18.8,,31.3,,110.1,,1.2,,0.4,,228,,11.6,,19.6,
2010-07,22.0,,28.0,,16.3,,34.4,,8.3,,78.5,,20.9,,38.3,,129.6,,1.1,,0.2,,217,,11.0,,22.3,
2010-08,20.1,,25.9,,14.8,,33.4,,10.1,,82.3,,17.8,,31.9,,104.0,,1.3,,0.2,,170,,13.0,,21.5,
2010-09,17.0,,22.6,,12.0,,32.4,,4.6,,76.2,,13.6,,25.1,,66.8,,1.5,,0.5,,202,,13.2,,18.8,
2010-10,9.3,,14.6,,4.4,,23.3,,-1.1,,153.8,,9.6,1,17.1,1,29.1,1,1.7,1,0.3,1,253,1,15.2,1,13.4,
2010-11,3.6,,8.4,,-0.7,,18.6,,-7.0,,103.4,,6.5,,14.2,,4.4,,1.8,,0.3,,301,,16.1,,7.6,
2010-12,-3.9,,0.6,,-7.8,,12.6,,-15.9,,76.4,,5.5,1,11.7,,-14.2,,2.1,,1.0,,295,,19.6,,2.5,
2011-01,-6.5,,-1.9,,-11.1,,13.3,,-26.0,,61.9,,6.2,,12.8,,-18.0,,1.6,,0.7,,298,,13.8,,1.4,
2011-02,-4.2,,1.0,,-9.8,,15.7,,-17.3,,103.7,,8.6,,17.7,,-20.7,,2.0,,0.9,,268,,17.9,,1.7,
2011-03,0.3,,5.2,,-4.5,,16.7,,-16.8,,144.7,,12.7,,27.5,,31.9,,2.1,,0.5,,257,,17.9,,2.0,
2011-04,7.6,,13.1,,2.6,,26.9,,-3.3,,136.3,,13.4,,29.0,,58.0,,2.1,,0.5,,222,,18.8,,7.4,
2011-05,14.2,,20.1,,9.2,,30.6,,2.1,,92.6,,15.4,,35.7,,94.3,,1.9,,0.5,,127,,12.2,,14.3,
2011-06,17.3,,23.1,,12.0,,30.7,,5.2,,134.4,,18.6,,40.7,,116.7,,1.2,,0.1,,86,,12.6,,18.8,
2011-07,21.7,,27.9,,16.1,,35.6,,11.2,,57.8,,19.8,,46.2,,136.3,,1.1,,0.2,,227,,12.9,,21.9,
2011-08,19.6,,25.4,,14.9,,29.3,,9.3,,271.1,,16.7,,35.9,,97.1,,1.2,,0.3,,181,,16.4,,21.6,
2011-09,17.0,,22.4,,13.0,,27.7,,4.0,,214.1,,12.4,,26.1,,66.5,,1.2,,0.4,,136,,9.8,,19.5,
2011-10,9.5,,14.5,,5.3,,27.7,,-4.0,,177.1,,8.6,,16.5,,23.7,,1.5,2,0.0,2,93,2,16.8,2,14.2,
2011-11,6.8,,12.0,,2.2,,18.9,,-2.7,,100.9,,6.9,,13.6,,2.1,,1.7,,0.7,,224,,15.8,,8.0,
2011-12,1.0,,5.7,,-3.5,,13.6,,-12.5,,124.7,,4.9,,9.9,,-6.3,,1.8,1,0.7,1,235,1,18.2,1,4.8,
2012-01,-2.7,,2.2,,-7.3,,12.3,,-19.1,,58.6,,5.9,,12.1,,-3.1,,2.1,2,0.9,2,242,2,16.1,2,1.6,
2012-02,-0.5,,4.5,,-5.4,,12.7,,-13.4,,27.0,,8.7,,17.7,,17.3,,1.8,,0.9,,264,,17.0,,1.5,
2012-03,5.5,,11.5,,0.4,,26.0,,-13.4,,23.7,,12.2,,25.2,,42.5,,1.8,,0.5,,240,,16.0,,5.8,
2012-04,8.2,,14.6,,1.8,,30.0,,-3.6,,56.0,,17.5,,34.8,,88.8,,1.8,,0.7,,266,,20.2,,9.2,
2012-05,15.2,,20.9,,10.1,,29.2,,3.7,,93.6,,15.9,,30.2,,94.1,,1.4,,0.5,,148,,10.4,,14.8,
2012-06,17.2,,23.4,,11.8,,33.9,,7.2,,83.7,,19.4,,37.0,,119.5,,1.2,,0.2,,142,,13.7,,18.8,
2012-07,21.7,,28.0,,16.0,,33.4,,10.8,,39.4,,21.0,1,41.1,1,121.9,1,1.0,1,0.2,1,220,1,10.3,1,21.5,
2012-08,20.9,,27.2,,15.4,,32.3,,9.7,,139.4,,19.6,,39.5,1,111.4,,1.0,,0.3,,209,,15.5,,21.6,
2012-09,15.3,,21.0,,10.4,,28.2,,4.4,,140.1,,14.5,,30.2,,66.8,,1.3,,0.4,,169,,17.9,,18.5,
2012-10,10.7,,15.0,,6.4,,22.8,,-3.4,,115.9,,7.1,,15.1,,19.5,,1.6,,0.3,,166,,19.8,,13.6,
2012-11,2.3,,7.2,,-1.6,,16.8,,-6.7,,13.8,,6.9,,14.3,,4.4,,1.6,,0.5,,290,,16.1,,7.1,
2012-12,-0.2,,3.6,,-3.8,,12.1,,-10.6,,91.8,,3.9,,8.1,,-7.2,,1.8,1,0.3,1,282,1,18.9,1,3.8,
2013-01,-3.8,,0.6,,-8.7,,14.6,,-21.4,,59.3,,6.1,,12.5,,-14.5,,1.9,2,1.1,2,254,2,20.7,2,1.8,
2013-02,-3.6,,0.5,,-7.3,,8.9,,-15.6,,62.6,,7.6,,15.4,,-5.0,,2.0,,0.6,,286,,17.2,,0.2,
2013-03,0.1,,4.8,,-4.2,,12.9,,-11.2,,73.6,,12.3,,25.1,,19.8,,1.9,,0.6,,299,,14.2,,0.4,
2013-04,6.8,,13.1,,1.2,,21.3,,-5.6,,52.4,,18.3,,37.1,,86.6,,2.2,,0.6,,244,,16.0,,7.7,
2013-05,13.6,,20.4,,6.8,,31.5,,0.2,,141.6,,19.3,,39.3,,101.1,,1.5,,0.3,,199,,14.4,,14.0,
2013-06,17.9,,23.8,,12.8,,31.4,,7.2,,244.3,,20.0,,41.2,,118.6,,1.4,,0.3,,187,,14.6,,19.2,
2013-07,22.5,,27.6,,18.0,,32.9,,10.9,,54.0,,19.4,,41.0,,125.3,,1.1,,0.2,,202,,10.1,,23.5,
2013-08,18.8,,24.6,,13.7,,28.4,,8.8,,137.0,,18.7,,38.6,,106.2,,1.1,,0.2,,227,,11.0,,21.1,
2013-09,14.7,,21.0,,9.1,,31.3,,2.1,,90.1,,15.1,,30.4,,74.0,,1.1,,0.2,,249,,11.8,,18.4,
2013-10,10.0,,15.3,,5.1,,23.7,,-3.6,,62.7,,9.3,,19.1,,30.3,,1.4,,0.2,,208,,15.1,,13.5,
2013-11,2.0,,7.1,,-3.0,,17.7,,-13.4,,83.2,,7.2,,14.7,,4.8,,1.9,,1.0,,254,,18.0,,7.1,
2013-12,-2.8,,1.0,,-7.0,,16.1,,-17.8,,86.5,,3.7,,7.1,,-10.3,,1.6,,0.6,,253,,13.5,,3.3,
2014-01,-6.4,,-1.6,,-11.3,,13.8,,-22.9,,83.8,,5.9,,12.1,,-9.9,,2.1,,1.1,,248,,15.2,,1.0,
2014-02,-5.7,,-1.0,,-10.3,,8.3,,-19.6,,90.6,,8.2,,16.5,,-14.9,,1.7,,0.6,,275,,15.9,,0.9,
2014-03,-2.8,,2.4,,-8.5,,11.9,,-18.3,,116.0,,12.2,,25.0,,13.3,,2.0,,0.7,,280,,19.2,,1.0,
2014-04,6.6,,12.7,,0.7,,22.4,,-5.9,,128.0,,16.5,,33.8,,72.6,,2.1,,0.4,,225,,19.1,,6.7,
2014-05,13.0,,19.0,,7.3,,28.7,,2.2,,81.8,,16.7,,35.0,,92.5,,1.6,,0.3,,199,,14.1,,12.9,
2014-06,18.2,,24.0,,12.5,,29.0,,7.2,,57.1,,21.2,,43.8,,130.7,,1.2,,0.2,,185,,11.0,,18.1,
2014-07,20.2,,25.9,,15.2,,30.9,,10.8,,228.8,,20.6,,42.9,,128.9,,1.2,,0.5,,209,,22.5,,21.7,
2014-08,18.4,,24.2,,13.6,,28.8,,9.5,,54.8,,18.1,,37.8,,104.7,,1.0,,0.1,,149,,13.2,,20.5,
2014-09,15.3,,21.2,,10.3,,29.0,,2.9,,40.9,,14.7,,30.7,,72.5,,1.2,,0.2,,125,,12.0,,18.2,
2014-10,10.5,,15.0,,6.2,,23.2,,-1.8,,190.0,,8.1,1,17.1,1,25.1,1,1.5,1,0.3,1,190,1,15.0,1,13.9,
2014-11,2.3,,6.6,,-2.2,,17.2,,-11.2,,97.8,,6.2,,12.0,,2.0,,1.8,3,0.9,3,238,3,16.9,3,7.3,
2014-12,-0.5,,2.8,,-3.8,,13.8,,-12.3,,134.2,,4.4,,8.3,,-4.3,,1.7,,0.4,,315,,18.0,,3.4,
2015-01,-7.3,,-2.8,,-12.4,,7.6,,-23.7,,68.6,,5.8,,10.9,,-17.8,,1.9,,0.9,,269,,16.0,,0.6,
2015-02,-10.6,,-5.0,,-16.6,,2.3,,-25.9,,42.0,,9.7,,18.3,,-11.5,,1.8,,0.7,,282,,16.7,,0.5,
2015-03,-2.2,,2.9,,-7.4,,11.4,,-17.8,,48.0,,13.4,,25.1,,4.0,,1.9,,1.1,,273,,18.1,,0.6,
2015-04,6.5,,11.9,,1.3,,20.4,,-4.7,,43.7,,16.1,,31.0,,66.0,,1.9,,0.5,,267,,15.5,,4.6,
2015-05,16.0,,23.1,,8.9,,29.7,,0.9,,32.8,,22.3,,43.7,,117.6,,1.6,,0.6,,210,,15.2,,14.2,
2015-06,16.7,,22.2,,11.4,,28.0,,5.3,,162.9,,19.9,,36.9,,112.9,,1.3,,0.3,,163,,16.1,,17.7,
2015-07,20.3,,26.1,,15.3,,31.6,,10.2,,109.9,,21.7,,34.6,,125.5,,1.1,,0.2,,199,,10.0,,21.0,
2015-08,20.2,,26.0,,15.2,,30.5,,11.7,,135.2,,20.9,,42.9,,113.7,,1.1,,0.3,,185,,14.8,,21.8,
2015-09,17.8,,24.1,,12.2,,31.4,,3.3,,157.7,,16.6,,33.5,,78.8,,1.1,,0.2,,107,,11.7,,19.8,
