date,jd,airt,f.airt,airtmax,f.airtmax,airtmin,f.airtmin,rh,f.rh,rhmax,f.rhmax,rhmin,f.rhmin,dewp,f.dewp,dewpmax,f.dewpmax,dewpmin,f.dewpmin,prec,f.prec,slrt,f.slrt,part,f.part,netr,f.netr,bar,f.bar,wspd,f.wspd,wres,f.wres,wdir,f.wdir,wdev,f.wdev,gspd,f.gspd,s10t,f.s10t,s10tmax,f.s10tmax,s10tmin,f.s10tmin
2001-03-26,85,-4.1,,1.4,,-9.2,,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,2.3,,11.5,,NA,M,NA,M,1014,,1.1,,0.4,,298,,61,,7.9,,NA,M,NA,M,NA,M
2001-03-27,86,-4.7,,0.1,,-10.7,,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,16.4,,NA,M,NA,M,1016,,2.2,,2,,274,,25,,11.7,,NA,M,NA,M,NA,M
2001-03-28,87,-4.7,E,2.8,E,-12.2,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,18.7,,NA,M,NA,M,1021,,1.9,,1.6,,277,,32,,9.3,,NA,M,NA,M,NA,M
2001-03-29,88,-0.9,E,6.1,E,-7.8,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,17.2,,NA,M,NA,M,1026,,1.3,,0.7,,153,,56,,6.7,,NA,M,NA,M,NA,M
2001-03-30,89,-1.4,E,1.1,E,-3.9,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,49.3,,2.2,,NA,M,NA,M,1011,,4.1,,3.6,,72,,29,,19.1,,NA,M,NA,M,NA,M
2001-03-31,90,-3.4,E,3.9,E,-10.6,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,8.1,,NA,M,NA,M,1007,,1.2,,0.6,,345,,58,,5.7,,NA,M,NA,M,NA,M
2001-04-01,91,-0.9,E,1.1,E,-2.8,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,5.5,,NA,M,NA,M,1008,,1.9,,1.7,,77,,25,,6.1,,NA,M,NA,M,NA,M
2001-04-02,92,0.9,E,5,E,-3.3,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,14,,NA,M,NA,M,1011,,1.4,,1,,325,,44,,7.8,,NA,M,NA,M,NA,M
2001-04-03,93,-0.3,E,6.1,E,-6.7,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,17.1,,NA,M,NA,M,1016,,1.2,,0.9,,310,,36,,8.6,,NA,M,NA,M,NA,M
2001-04-04,94,2.5,E,9.4,E,-4.4,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,22.6,,NA,M,NA,M,1023,,1.2,,0.8,,320,,42,,7.9,,NA,M,NA,M,NA,M
2001-04-05,95,3.6,E,11.1,E,-3.9,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,26.2,,NA,M,NA,M,1024,,1.2,,0.8,,338,,43,,8.9,,NA,M,NA,M,NA,M
2001-04-06,96,4.7,E,11.1,E,-1.7,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,7.9,,6.4,,NA,M,NA,M,1015,,1.5,,0.9,,92,,47,,8.1,,NA,M,NA,M,NA,M
2001-04-07,97,3.9,E,8.3,E,-0.6,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,19,,NA,M,NA,M,1021,,1.8,,1.4,,85,,39,,8,,NA,M,NA,M,NA,M
2001-04-08,98,1.4,E,5,E,-2.2,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,15.5,,3.8,,NA,M,NA,M,1019,,1.1,Q,0.9,Q,157,Q,30,Q,5.4,Q,NA,M,NA,M,NA,M
2001-04-09,99,7.5,E,16.1,E,-1.1,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,4.3,,24.6,,NA,M,NA,M,1009,,1.8,,0.9,,291,,57,,8.1,,NA,M,NA,M,NA,M
2001-04-10,100,7.5,E,13.3,E,1.7,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,24.8,,NA,M,NA,M,1016,,1.4,,0.5,,352,,62,,7.4,,NA,M,NA,M,NA,M
2001-04-11,101,5.9,E,11.1,E,0.6,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,15.9,,NA,M,NA,M,1024,,2.1,,1.5,,179,,40,,6.8,,NA,M,NA,M,NA,M
2001-04-12,102,8.1,E,15.6,E,0.6,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,3.6,,3,,NA,M,NA,M,1019,,2.2,,1.9,,81,,28,,9.1,,NA,M,NA,M,NA,M
2001-04-13,103,6.7,E,14.4,E,-1.1,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,14.4,,NA,M,NA,M,1009,,2.4,,2,,274,,33,,15.6,,NA,M,NA,M,NA,M
2001-04-14,104,7.3,E,13.9,E,0.6,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,27.5,,NA,M,NA,M,1009,,2.4,,2,,300,,33,,12.7,,NA,M,NA,M,NA,M
2001-04-15,105,5.6,E,13.9,E,-2.8,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,26.1,,NA,M,NA,M,1009,,1.7,,1,,332,,51,,10.4,,NA,M,NA,M,NA,M
2001-04-16,106,6.4,E,12.8,E,0,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,0,,4,,NA,M,NA,M,1006,E,1.1,,0.8,,343,,43,,6,,NA,M,NA,M,NA,M
2001-04-17,107,5.8,,10.5,,0.5,,53,,79,,30,,-3.5,,0.3,,-8.4,,0,,16.4,,NA,M,NA,M,1006,,1.3,,0.7,,69,,52,,6.9,,NA,M,NA,M,NA,M
2001-04-18,108,3.5,,8.4,,-1.3,,40,,71,,20,,-9.4,,-2.4,,-13.9,,0,,20.9,,NA,M,NA,M,1006,,2.1,,1.6,,319,,40,,11.6,,NA,M,NA,M,NA,M
2001-04-19,109,2.2,,8.9,,-3.4,,49,,78,,25,,-8.1,,-3.9,,-11.5,,0,,25.5,,NA,M,NA,M,1019,,1.4,,1.1,,280,,34,,9.6,,NA,M,NA,M,NA,M
2001-04-20,110,8.8,,18,,-1.5,,43,,67,,21,,-3.8,,3.4,,-9.8,,0,,27,,NA,M,NA,M,1025,,1.7,,1.3,,216,,38,,7.9,,NA,M,NA,M,NA,M
2001-04-21,111,12.8,,19.1,,6.1,,63,,84,,47,,5.8,,9.8,,1.7,,0.3,,13.3,,NA,M,NA,M,1026,,1.9,,1.4,,185,,39,,9.3,,NA,M,NA,M,NA,M
2001-04-22,112,17.4,,27.5,,10.6,,64,,100,,23,,8.8,,14.7,,3.4,,0,,23.4,,NA,M,NA,M,1020,,3,,2.4,,253,,38,,16.1,,NA,M,NA,M,NA,M
2001-04-23,113,16.8,,25.4,,7.9,,55,,85,,31,,7,,11.5,,3.4,,0,,23.9,,NA,M,NA,M,1020,,1.7,,1.1,,210,,47,,8.5,,NA,M,NA,M,NA,M
2001-04-24,114,16.7,,29.2,,6.3,,64,,89,,28,,9.2,,16.2,,-1.5,,0,,22.9,,NA,M,NA,M,1011,,3.2,,2.2,,241,,46,,15.4,,NA,M,NA,M,NA,M
2001-04-25,115,7.1,,12.3,,3.6,,45,,71,,23,,-4.6,,-0.7,,-9.1,,0,,16.9,,NA,M,NA,M,1021,,1.9,,1.2,,342,,50,,9.5,,NA,M,NA,M,NA,M
2001-04-26,116,8.5,,15.6,,1.1,,37,,69,,19,,-6.4,,-0.7,,-10.9,,0,,29.2,,NA,M,NA,M,1024,,2.1,,1.7,,83,,33,,8.3,,NA,M,NA,M,NA,M
2001-04-27,117,10.1,,19,,-1,,47,,79,,21,,-1.7,,5.1,,-9.9,,0,,26.7,,NA,M,NA,M,1015,,1.6,,0.7,,308,,58,,11.1,,NA,M,NA,M,NA,M
2001-04-28,118,7.2,,12.2,,1.8,,37,,72,,14,,-7.9,,3.5,,-16.3,,0,,29.7,,NA,M,NA,M,1021,,2,,1.5,,322,,38,,10.4,,NA,M,NA,M,NA,M
2001-04-29,119,7.1,,15.3,,-1.9,,33,,69,,13,,-9.1,,-3.7,,-13.6,,0,,29.3,,NA,M,NA,M,1031,,1.4,,0.9,,325,,45,,9.7,,NA,M,NA,M,NA,M
2001-04-30,120,13.7,,22.7,,2.9,,31,,54,,14,,-3.8,,3.8,,-11.5,,0,,24.8,,NA,M,NA,M,1023,,1.2,,0.9,,284,,40,,7.6,,NA,M,NA,M,NA,M
2001-05-01,121,22.9,,29.4,,17.3,,28,,45,,15,,2.7,,7.3,,-0.7,,0,,5.9,,NA,M,NA,M,1018,E,1.2,,0.6,,317,,56,,8.2,,NA,M,NA,M,NA,M
2001-05-02,122,22.4,,30.8,,12.9,,36,,65,,14,,5.1,,10.8,,0,,0,,24.7,,NA,M,NA,M,1017,,1.2,,0.8,,298,,47,,8.6,,NA,M,NA,M,NA,M
2001-05-03,123,23.2,,30.9,,15.3,,43,,71,,22,,9.1,,14.4,,5.7,,0,,26.7,,NA,M,NA,M,1019,,1.4,,1.1,,280,,35,,10.1,,NA,M,NA,M,NA,M
2001-05-04,124,22.8,,30,,15.8,,48,,74,,20,,10.2,,15.1,,3.8,,0,,24.3,,NA,M,NA,M,1017,,1.3,,1.1,,276,,30,,8.7,,NA,M,NA,M,NA,M
2001-05-05,125,13.3,,20.8,,3.8,,53,,87,,20,,3,,11.7,,-5.9,,0,,20.8,,NA,M,NA,M,1019,,1.7,,1.2,,333,,42,,10.3,,NA,M,NA,M,NA,M
2001-05-06,126,9,,16.1,,0.8,,45,,86,,22,,-3.3,,1.5,,-11.3,,0,,30.5,,NA,M,NA,M,1031,,1.9,,1.4,,77,,41,,9.2,,NA,M,NA,M,NA,M
2001-05-07,127,9.8,,19.1,,-1.6,,28,,60,,11,,-9.7,,-2.5,,-19.4,,0,,31.6,,NA,M,NA,M,1033,,1.4,,0.7,,217,,55,,7.6,,NA,M,NA,M,NA,M
2001-05-08,128,11.9,,21.6,,1.1,,49,,91,,13,,-0.3,,4.9,,-9.9,,0,,31.5,,NA,M,NA,M,1027,,1.6,,1.3,,215,,35,,8.2,,NA,M,NA,M,NA,M
2001-05-09,129,15.3,,25.3,,6,,61,,98,,19,,6.1,,11.6,,-0.4,,0,,29,,NA,M,NA,M,1020,,1.3,,0.3,,307,,70,,7.8,,NA,M,NA,M,NA,M
2001-05-10,130,18,,25.9,,9.1,,50,,91,,15,,5.6,,11.1,,-3.4,,0,,28.9,,NA,M,NA,M,1017,,1.1,,0.7,,317,,48,,9.8,,NA,M,NA,M,NA,M
2001-05-11,131,20.4,,28.1,,10.8,,42,,72,,21,,6.3,,11,,2,,0,,29.6,,NA,M,NA,M,1015,,1.1,,0.4,,261,,60,,7.8,,20.1,,24.9,,15.5,
2001-05-12,132,18.7,,28.1,,11.3,,67,,96,,32,,11.6,,16.9,,8,,2.8,,22.7,,NA,M,NA,M,1010,,1.3,,0.8,,239,,49,,13,,21,,25.2,,17.9,
2001-05-13,133,10.5,,16.1,,6.2,,55,,84,,26,,0.8,,8.3,,-3.9,,0,,26.8,,NA,M,NA,M,1015,,2,,1.5,,324,,40,,11,,18,,21.4,,15.1,
2001-05-14,134,10.9,,18,,3.6,,49,,75,,24,,-0.2,,3.6,,-3.6,,0,,25,,NA,M,NA,M,1016,,1.4,,0.9,,327,,44,,11.4,,16.7,,20.2,,13.1,
2001-05-15,135,9.7,,15.2,,4.9,,61,,96,,26,,1.8,,8.1,,-6.1,,0,,16.9,,NA,M,NA,M,1010,,1.5,,0.9,,347,,50,,11.1,,15.1,,17,,12.8,
2001-05-16,136,8.3,,10.7,,6.8,,91,,97,,78,,6.9,,8.5,,5.9,,0.3,,8.5,,NA,M,NA,M,1015,,1.7,,1.4,,69,,32,,9.1,,13.9,,14.9,,13,
2001-05-17,137,11.4,,17,,6.2,,72,,97,,44,,6,,8.2,,3.1,,0,,18.4,,NA,M,NA,M,1017,,1,,0.6,,210,,45,,6.3,,14.9,,18.3,,12,
2001-05-18,138,10.4,,11.7,,8.5,,88,,97,,79,,8.4,,9.8,,6.1,,0.3,,4.1,,NA,M,NA,M,1013,,1.7,,1.4,,201,,30,,7.6,,14.1,,15.9,,13.3,
2001-05-19,139,15.3,,22.4,,10,,72,,99,,36,,9.6,,12.8,,6.2,,0,,21.5,,NA,M,NA,M,1011,,1.7,,0.1,,13,,78,,9,,16.5,,20.5,,12.8,
2001-05-20,140,13.8,,21,,6.5,,65,,96,,34,,6.6,,9.5,,3.5,,0,,30,,NA,M,NA,M,1019,,1.4,,1,,110,,41,,6,,18.7,,23.2,,14.4,
2001-05-21,141,13.7,,19.9,,6.7,,71,,98,,37,,8,,10.4,,4.6,,0,,27.6,,NA,M,NA,M,1020,,1.8,,1.3,,133,,38,,9.5,,19.5,,23.2,,15.8,
2001-05-22,142,10,,11.5,,8.8,,97,,99,,86,,9.6,,10.9,,8.4,,10.2,,6.6,,NA,M,NA,M,1016,,2.8,,2.6,,79,,24,,9.9,,16.3,,19.4,,14.2,
2001-05-23,143,10.9,,13.5,,8.8,,95,,100,,81,,10.1,,12.2,,7.6,,9.9,,5,,NA,M,NA,M,1016,,2.5,,2.3,,83,,25,,8.9,,13.8,,14.8,,13.1,
2001-05-24,144,11.2,,16.5,,8.3,,86,,98,,53,,8.8,,11.8,,5.8,,8.6,,14.2,,NA,M,NA,M,1019,,2.1,,1.8,,85,,30,,12.7,,14.1,,16.4,,12,
2001-05-25,145,12.3,,18.6,,7.6,,73,,98,,45,,7.2,,10.4,,4.4,,0.3,,15.9,,NA,M,NA,M,1023,,1.6,,1.3,,89,,35,,7.7,,14.7,,17.2,,12.4,
2001-05-26,146,13.6,,20.4,,9.1,,81,,99,,50,,10.2,,14.9,,4.4,,7.9,,12.9,,NA,M,NA,M,1020,,1.1,,0.6,,93,,51,,5.2,,15.3,,17.8,,12.8,
2001-05-27,147,13.3,,17.3,,11.3,,97,,100,,80,,12.8,,14.8,,10.7,,3.3,,8.6,,NA,M,NA,M,1012,,2.2,,2,,88,,27,,7.1,,15.5,,17.2,,14.4,
2001-05-28,148,14.3,,20.4,,9.7,,90,,99,,61,,12.5,,16.2,,9,,5.1,,14.9,,NA,M,NA,M,1009,,1.5,,1.1,,186,,40,,9.7,,16.5,,19.2,,14.6,
2001-05-29,149,13.3,,19.3,,7.1,,79,,100,,53,,9.4,,13,,5.1,,0,,17.2,,NA,M,NA,M,1008,,1.1,,0.8,,258,,42,,9.8,,16,,18.9,,13.1,
2001-05-30,150,8,,13.1,,3.5,,76,,97,,44,,3.6,,7.6,,0,,0.5,,23.7,,NA,M,NA,M,1009,,1.6,,1.2,,276,,38,,12.3,,14.6,,17.8,,11.7,
2001-05-31,151,9.5,,16.5,,2.7,,65,,94,,30,,2.3,,6.1,,-1.7,,0,,28.3,,NA,M,NA,M,1013,,1.7,,1.1,,284,,47,,11.1,,13.8,,18,,10.1,
2001-06-01,152,12.9,,20.6,,3.4,,57,,96,,23,,3.6,,9.9,,-1.9,,0,,29.3,,NA,M,NA,M,1016,,1.4,,0.7,,192,,56,,6.6,,15.3,,20.4,,10.1,
2001-06-02,153,13.8,,17.8,,9.2,,96,,99,,59,,13.2,,17.2,,4.3,,46.2,,4.1,,NA,M,NA,M,1009,,1.8,,1.5,,103,,36,,9.7,,15.2,,16.6,,13.6,
2001-06-03,154,13.1,,16.1,,10.7,,97,,99,,87,,12.7,,15.4,,10.5,,30,,11.1,,NA,M,NA,M,1006,,1.9,,1.4,,90,,39,,8.1,,15.9,,17.6,,14.1,
2001-06-04,155,13,,18.1,,8.4,,85,,100,,63,,10.4,,12.7,,8.3,,0,,12.6,,NA,M,NA,M,1012,,1.2,,1,,262,,32,,7.1,,15.5,,17.2,,13.5,
2001-06-05,156,15.1,,21.4,,8,,73,,98,,43,,10,,14.4,,7.6,,0,,24.4,,NA,M,NA,M,1015,,1.2,,0.9,,272,,40,,7.9,,16.5,,20.4,,12.3,
2001-06-06,157,16.1,,22.6,,10.1,,63,,97,,31,,8.4,,12.4,,4.2,,0,,27,,NA,M,NA,M,1014,,1.2,,0.7,,298,,51,,8.2,,18,,21.6,,14.6,
2001-06-07,158,16.9,,24,,9.2,,58,,89,,27,,7.4,,12.8,,2.4,,0,,29.2,,NA,M,NA,M,1012,,1,,0.6,,335,,49,,8,,18.4,,22.9,,13.9,
2001-06-08,159,17.9,,25,,11,,46,,78,,22,,5.3,,10.5,,0.2,,0,,31,,NA,M,NA,M,1010,,1,,0.6,,333,,52,,7.1,,19.3,,23.6,,15,
2001-06-09,160,17.9,,25,,11.7,,47,,74,,23,,5.6,,10.9,,0.3,,0,,29.5,,NA,M,NA,M,1010,,1,,0.5,,334,,52,,6.7,,20,,24.8,,15.4,
2001-06-10,161,18.7,,27.2,,11,,53,,84,,23,,8.1,,13.6,,3.9,,0,,29.7,,NA,M,NA,M,1011,,1,,0.3,,303,,62,,6.7,,21.2,,26.6,,15.9,
2001-06-11,162,15.9,,20.8,,11.7,,83,,99,,54,,12.8,,16.2,,6.5,,27.7,,8.4,,NA,M,NA,M,1011,,1.2,,0.8,,129,,48,,7.1,,18.9,,21.2,,17.6,
2001-06-12,163,17.1,,23.3,,14.4,,91,,100,,59,,15.5,,17.8,,14.1,,0,,13.7,,NA,M,NA,M,1011,,0.8,,0.4,,336,,55,,4.1,,19.1,,21.9,,17.2,
2001-06-13,164,21.2,,28.6,,13.4,,75,,100,,39,,16,,20,,12.2,,0,,30.5,,NA,M,NA,M,1015,,1,,0.5,,191,,56,,5.3,,21.6,,26.5,,16.8,
2001-06-14,165,23.8,,30.7,,15.8,,74,,97,,45,,18.3,,22.1,,15.1,,0,,30,,NA,M,NA,M,1020,,0.8,,0.5,,210,,45,,5.1,,24,,28.5,,19.5,
